num_agents,scenario,algorithm,soc,sod,solved
400,20,BALANCE-Thompson,66863,4870,0
400,21,DyMAB-aUCB,66068,2094,1
400,21,DyMAB-eGreedy,68560,4586,1
400,21,MAPF-LNS2,65433,1459,1
400,21,MAPF-LNS,0,0,0
400,21,BALANCE-UCB1,71392,7418,0
400,21,BALANCE-Thompson,70611,6637,0
400,22,DyMAB-aUCB,63097,2436,1
400,22,DyMAB-eGreedy,67837,7176,1
400,22,MAPF-LNS2,62941,2280,1
400,22,MAPF-LNS,0,0,0
400,22,BALANCE-UCB1,71514,10853,2
400,22,BALANCE-Thompson,67055,6394,1
400,23,DyMAB-aUCB,63948,1852,1
400,23,DyMAB-eGreedy,66622,4526,1
400,23,MAPF-LNS2,63619,1523,1
400,23,MAPF-LNS,0,0,0
400,23,BALANCE-UCB1,68313,6217,0
400,23,BALANCE-Thompson,66942,4846,0
400,24,DyMAB-aUCB,63206,2276,1
400,24,DyMAB-eGreedy,67367,6437,1
400,24,MAPF-LNS2,62442,1512,1
400,24,MAPF-LNS,0,0,0
400,24,BALANCE-UCB1,67675,6745,0
400,24,BALANCE-Thompson,67200,6270,1
400,25,DyMAB-aUCB,60342,1365,1
400,25,DyMAB-eGreedy,62751,3774,1
400,25,MAPF-LNS2,60276,1299,1
400,25,MAPF-LNS,0,0,0
400,25,BALANCE-UCB1,63625,4648,0
400,25,BALANCE-Thompson,63623,4646,0
400,2,DyMAB-aUCB,66743,3371,1
