num of agents,sum of costs,weights,runtime,cost lowerbound,sum of distances,MAPF algorithm
7,36202,"",2.64296,35485,35485,PP
8,36202,"",2.66235,35485,35485,PP
8,36202,"",2.68115,35485,35485,PP
2,36162,"",2.68645,35485,35485,PP
8,36160,"",2.70636,35485,35485,PP
4,36159,"",2.71376,35485,35485,PP
8,36155,"",2.74395,35485,35485,PP
7,36155,"",2.75661,35485,35485,PP
8,36155,"",2.77797,35485,35485,PP
3,36155,"",2.78621,35485,35485,PP
7,36153,"",2.8,35485,35485,PP
2,36153,"",2.81052,35485,35485,PP
5,36153,"",2.8275,35485,35485,PP
2,36153,"",2.83234,35485,35485,PP
2,36153,"",2.84528,35485,35485,PP
6,36153,"",2.86088,35485,35485,PP
2,36153,"",2.86614,35485,35485,PP
3,36153,"",2.87654,35485,35485,PP
3,36153,"",2.88304,35485,35485,PP
8,36153,"",2.9081,35485,35485,PP
5,36153,"",2.9268,35485,35485,PP
4,36152,"",2.93622,35485,35485,PP
4,36152,"",2.95484,35485,35485,PP
8,36152,"",2.97705,35485,35485,PP
3,36152,"",2.98552,35485,35485,PP
5,36144,"",2.99567,35485,35485,PP
5,36142,"",3.00358,35485,35485,PP
3,36142,"",3.01664,35485,35485,PP
6,36138,"",3.03187,35485,35485,PP
8,36138,"",3.05301,35485,35485,PP
5,36138,"",3.06061,35485,35485,PP
7,36138,"",3.07743,35485,35485,PP
5,36138,"",3.09254,35485,35485,PP
4,36069,"",3.103,35485,35485,PP
3,36069,"",3.10775,35485,35485,PP
2,36069,"",3.11261,35485,35485,PP
5,36069,"",3.12118,35485,35485,PP
8,36069,"",3.13377,35485,35485,PP
3,36069,"",3.1427,35485,35485,PP
3,36069,"",3.15054,35485,35485,PP
3,36069,"",3.16364,35485,35485,PP
4,36069,"",3.17111,35485,35485,PP
6,36069,"",3.1912,35485,35485,PP
3,36069,"",3.20043,35485,35485,PP
7,36069,"",3.22484,35485,35485,PP
3,36069,"",3.23494,35485,35485,PP
3,36069,"",3.24186,35485,35485,PP
6,36069,"",3.25333,35485,35485,PP
8,36069,"",3.27042,35485,35485,PP
3,36069,"",3.27892,35485,35485,PP
6,36069,"",3.28833,35485,35485,PP
3,36069,"",3.29819,35485,35485,PP
4,36059,"",3.30515,35485,35485,PP
3,36059,"",3.31389,35485,35485,PP
5,36059,"",3.32246,35485,35485,PP
6,36059,"",3.3388,35485,35485,PP
8,36059,"",3.35686,35485,35485,PP
9,36059,"",3.38328,35485,35485,PP
2,36059,"",3.39389,35485,35485,PP
8,36059,"",3.41259,35485,35485,PP
5,36059,"",3.42382,35485,35485,PP
4,36059,"",3.43068,35485,35485,PP
6,36059,"",3.44236,35485,35485,PP
2,36059,"",3.44758,35485,35485,PP
6,36059,"",3.4567,35485,35485,PP
3,36059,"",3.47093,35485,35485,PP
7,36019,"",3.48995,35485,35485,PP
